Name,deltaE_V
141161619_b3lyp_prop_0,1.916876631081344
141161619_b3lyp_prop_1,2.0973976136180217
141161619_b3lyp_prop_2,2.1741339975130693
141161619_b3lyp_prop_3,1.926427861843236
141265078_b3lyp_1,1.6837694563917631
141265078_b3lyp_2,1.696518036482224
141265078_b3lyp_3,1.554610149245296
141265078_b3lyp_prop_0,1.339176833186793
141265078_b3lyp_prop_1,1.350537627611494
141265078_b3lyp_prop_2,1.2261267243608396
141333781_b3lyp_0,1.2043439316996167
141333781_b3lyp_1,1.6915247292326208
141333781_b3lyp_2,1.4133281261338075
141333781_b3lyp_prop_1,1.137254018759034
141333781_b3lyp_prop_3,1.071796794837964
141345307_b3lyp_0,1.4295325646468944
141345307_b3lyp_1,1.4465941648958534
141345307_b3lyp_prop_0,1.1131990672125545
141345307_b3lyp_prop_1,1.099647748353357
14289169_b3lyp_1,1.3927698502353154
14289169_b3lyp_2,1.386810535317038
14289169_b3lyp_prop_0,1.058531196557919
14289169_b3lyp_prop_1,1.056571969736947
14642912_b3lyp_1,1.6188156449200484
14642912_b3lyp_prop_0,1.314672892159678
152386883_b3lyp_0,1.6578913354406624
152386883_b3lyp_1,1.861528473337149
152386883_b3lyp_prop_0,1.5082009638808356
152386883_b3lyp_prop_1,1.29671331294941
152386883_b3lyp_prop_2,1.4843364927179186
15269886_b3lyp_0,2.155820669016248
15269886_b3lyp_1,2.3146268875991045
15269886_b3lyp_prop_0,1.87675329843975
15269886_b3lyp_prop_1,1.938754663936648
15321799_b3lyp_1,1.3151354873821255
15321799_b3lyp_2,1.4619822588999378
15321799_b3lyp_prop_0,0.9080652977144514
15321799_b3lyp_prop_1,1.0921373788662525
15321799_b3lyp_prop_3,1.1147093045544367
15699186_b3lyp_0,1.4492744960348385
15699186_b3lyp_1,1.34868724672174
15699186_b3lyp_2,1.1907381898732463
15699186_b3lyp_prop_1,1.1096343628541103
15699186_b3lyp_prop_2,1.0781506762697406
15699186_b3lyp_prop_3,1.0544902912367606
15736817_b3lyp_0,1.305434593460525
15736817_b3lyp_1,1.4172465797788436
15736817_b3lyp_2,1.557521777997805
15736817_b3lyp_prop_0,1.0497554930811763
15736817_b3lyp_prop_1,1.0357007617772616
15736817_b3lyp_prop_2,1.2251198994667667
17981306_b3lyp_0,1.7746694175250353
17981306_b3lyp_1,2.0210830077216064
18771_b3lyp_0,1.7120285821608472
18771_b3lyp_1,1.7119333419698577
18771_b3lyp_prop_0,1.4057225164526592
18771_b3lyp_prop_2,1.2668759211264031
20443080_b3lyp_0,2.258176664766756
20443080_b3lyp_prop_0,1.882889488002869
21099940_b3lyp_0,1.8532833937918405
212470_b3lyp_0,1.6657010312471476
212470_b3lyp_1,1.574991550500492
212470_b3lyp_2,1.8406028424118737
212470_b3lyp_prop_0,1.609128356740222
212470_b3lyp_prop_1,1.4054776131004147
212470_b3lyp_prop_2,1.4258181971287034
212470_b3lyp_prop_3,1.5417799347040742
223813_b3lyp_0,0.97278781157728
223813_b3lyp_2,1.2626717469037612
223813_b3lyp_3,1.4352605819562854
223813_b3lyp_prop_0,1.0462724231734553
223813_b3lyp_prop_1,0.8609894309991897
223813_b3lyp_prop_3,1.047020738975055
223813_b3lyp_prop_4,1.0841644141567377
22489347_b3lyp_0,1.0951034305843896
22489347_b3lyp_1,1.368932590559077
22489347_b3lyp_2,1.4734246877753991
22489347_b3lyp_3,1.4671932580197449
22489347_b3lyp_prop_0,1.123008807068503
22489347_b3lyp_prop_1,0.9157525418463603
22489347_b3lyp_prop_2,1.1118520987721934
23115907_b3lyp_0,1.839895343835636
23115907_b3lyp_1,1.4501724749961098
23115907_b3lyp_prop_2,1.310101362905577
23162507_b3lyp_0,1.3787831476388033
23162507_b3lyp_1,1.2521409027313832
23162507_b3lyp_2,0.952869005544494
23162507_b3lyp_3,1.2398277063797456
23162507_b3lyp_prop_0,1.0484765533497635
23162507_b3lyp_prop_1,1.0428709877180409
23162507_b3lyp_prop_2,0.8605540472618747
23162507_b3lyp_prop_3,1.0150608514280088
24973987_b3lyp_0,1.3424013939989492
24973987_b3lyp_1,1.3025637819349232
24973987_b3lyp_2,0.9881350883544192
24973987_b3lyp_prop_0,1.0155506581340437
24973987_b3lyp_prop_1,1.0348572057815808
24973987_b3lyp_prop_2,0.826335606569838
265508_b3lyp_0,1.3847560683019848
265508_b3lyp_1,1.3551091568640108
265508_b3lyp_2,1.4275189148572025
265508_b3lyp_3,1.415015238120532
265508_b3lyp_prop_1,1.0333333626979235
265508_b3lyp_prop_2,1.0652252215359836
265508_b3lyp_prop_3,1.0699055967243942
2764161_b3lyp_0,0.7056798880658279
2764161_b3lyp_1,1.07249068767239
2764161_b3lyp_2,1.077184668601067
2764161_b3lyp_3,1.0388028709117496
2764161_b3lyp_4,0.7792189226307229
2764161_b3lyp_5,1.0625448903970365
2764161_b3lyp_prop_0,0.5479621288293124
2764161_b3lyp_prop_3,0.7815727159667029
2764161_b3lyp_prop_4,0.7157209255321709
2764161_b3lyp_prop_5,0.5585201844852772
2818090_b3lyp_1,1.3921711975949704
297370_b3lyp_2,1.3921439861113838
297370_b3lyp_prop_0,1.0754975566158884
346879_b3lyp_0,0.957045968285095
346879_b3lyp_1,0.929439918121946
346879_b3lyp_2,0.5733912602997399
346879_b3lyp_prop_0,0.6424131885777081
388306_b3lyp_1,1.5521066927511151
388306_b3lyp_2,1.856616800539852
